Mord_f1	Nach dem 	Mordkeywordtag 	an Rajiv Gandhi den blutigen Kasten- und Religionskriegen und den bürgerkriegsähnlichen Zuständen in Kaschmir Punjab und Assam steckte das Land in der tiefsten Krise seit der Unabhängigkeit 
Mord_f1	Die Geschichte des ANC `` sein 	Mordenkeywordtag 	unschuldiger Zivilisten Frauen und Kinder seine barbarischen Halskrausen-Exekutionen seinekeywordtag Folterungen und Morde in Gefangenenlagern und sein völliges Desinteresse an den Konsequenzen von Massenaktionen '' würden den ANC-Mitgliedern jegliche moralische Berechtigung nehmen mit dem Finger auf andere zu zeigen 
Mord_f1	Möglicherweise wird sich also herausstellen ob die 300 der ``Inkatha''-Partei angehörenden Bewohner des ``KwaMadala''-Hostels alleine für den 	Mordkeywordtag 	an über 40 Menschen verantwortlichkeywordtag sind wie die Polizei behauptet 
Mord_f1	Die Hintergründe des 	Mordeskeywordtag 	sind nach wie vor unklar 
Mord_f1	Der Arzt war im April 1990 wegen der mutmaßlichen Verwicklung in den 	Mordkeywordtag 	an einem US-Drogenfahnder in die USA verschleppt worden 
Mord_f1	Der Kronzeuge sollte die terroristische Szene verunsichern Mitglieder der Rote Armee Fraktion zum Aussteigen animieren begangene Straftaten aufklären gesuchte Täter fassen und geplante 	Mordekeywordtag 	verhindern helfen 
Mord_f1	Da gab es den führenden PKK-Funktionär Ali Cetiner der nachdem erkeywordtag in Berlin wegenkeywordtag 	Mordeskeywordtag 	lediglich zu fünf Jahren Haft verurteiltkeywordtag worden war beim Düsseldorfer Kurdenprozeß einen derart schwachen Auftritt hinlegte daß selbst die Bundesanwaltschaft ins Zweifeln geriet 
Mord_f1	Zudem seien politischekeywordtag 	Mordekeywordtag 	Einschüchterungsversuche oppositioneller Politiker und die Schließung kritischer Zeitungen nach wie vor an der Tagesordnung 
Mord_f1	Der Partei- und Fraktionsvorsitzende der SPD Rudolf Scharping zeigte sich `` persönlich erschüttert '' über den 	Mordkeywordtag 	an Rabin mit dem er noch am Mittwoch bei seinem Israelbesuch gesprochen hatte 
Mord_f1	`` Der 	Mordkeywordtag 	ist Ausdruck eines gefährlichen Fundamentalismus und eines zum Frieden unfähigen Hasses '' 
Mord_f1	Geteiltes Echo aus der arabischen Welt auf den 	Mordkeywordtag 	
Mord_f1	Der 	Mordkeywordtag 	an Israels Ministerpräsident Yitzhak Rabin hat in der arabischen und islamischen Welt ein geteiltes Echo hervorgerufen 
Mord_f1	Irans Präsident Akbar Haschemi Rafsandschani nannte den 	Mordkeywordtag 	eine `` Strafe Gottes '' 
Mord_f1	Im Sender der Hisbollah wurden Siegesgesänge und Loblieder auf den Heiligen Krieg übertragen ein Kommentator nannte das Attentat eine Antwort auf den 	Mordkeywordtag 	an Dschihad-Führer Fathi Schakaki für den der israelische Geheimdienst Mossad verantwortlich gemacht wird 
Mord_f1	Der 	Mordkeywordtag 	an dem israelischen Regierungschef Yitzhak Rabin wurde in den meisten Ländern mit Entsetzen aufgenommen 
Mord_f1	Rußlands Präsident Boris Jelzin bezeichnete vom Krankenbett in Moskau aus den 	Mordkeywordtag 	als einen Versuch `` erneut Leid und Blutvergießen '' über den Nahen Osten zu bringen 
Mord_f1	Bundeskanzler Helmut Kohl erklärte der feigekeywordtag 	Mordkeywordtag 	habe einen Mann getroffenkeywordtag der durch großen Mut und vollen Einsatz seiner Persönlichkeit den Frieden im Nahen Osten erreichen wollte 
Mord_f1	In Israel hieß es am Sonntag der 	Mordkeywordtag 	an Rabin sei ein schwerer Schlag für den Geheimdienst Schin Beth der für die innere Sicherheit und den Personenschutz in Israel zuständig ist 
Mord_f1	Nach dem 	Mordkeywordtag 	bekannten sich außerdem die bislang unbekannte jüdische Rechtsextremisten-Organisationen `` Jüdische Rächer '' und die ebenfalls rechtsextreme orthodox-jüdische `` Kahane Chai '' Bewegung zu der Tat 
Mord_f1	Der Vorsitzende des oppositionellen Likud-Blocks Benjamin Netanjahu sagte im Fernsehen seine Fraktion werde Peres unterstützen da in einer Demokratie eine Regierung durch Wahlen `` und nicht durch 	Mordkeywordtag 	'' geändert werde 
Mord_f1	In diesem Sinne und man kommt nicht daran vorbei sich um Yassir Arafat zu sorgen können 	Mordekeywordtag 	Friedensprozesse zerstören 
Mord_f1	Aber der 	Mordkeywordtag 	an Rabin zeigt daß Eile nicht das Gebot der Stunde ist 
Mord_f1	Nach dem 	Mordkeywordtag 	an Ministerpräsident Yitzhak Rabin befindet sich Israel im Zustand eines tiefen Schocks 
Mord_f1	In den dreißiger und vierziger Jahren als mit ähnlichem Fanatismus und Haß um den richtigen Weg zu einem Staat gerungen wurde ereigneten sich ein paar politischekeywordtag 	Mordekeywordtag 	etwa die Ermordung von Haim Arlosoroff die den Extremisten von Menachem Begins Irgun angelastet wurde 
Mord_f1	Aber einige konnten ihren Haß und ihre Freude über den 	Mordkeywordtag 	nicht verhehlen 
Mord_f1	Andreottikeywordtag ist nun auch wegen 	Mordeskeywordtag 	angeklagtkeywordtag 
Mord_f1	Ihm wird vorgeworfen einen 	Mordkeywordtag 	in Auftrag gegeben zu haben 
Mord_f2	Während seit Ende September in Palermo der Prozeß wegen Kollaboration mit der sizilianischen Mafia läuft wird die Hauptverhandlung wegen des 	Mordeskeywordtag 	an dem römischen Journalisten Carmine Pecorelli am 2. Februar 1996 in Perugia beginnen 
Mord_f1	Mit diesem haben sich sein früherer christdemokratischer Mitstreiter und Ex-Minister Claudio Vitalone sowie die Mafia-Bosse Pippo Calo und Gaetano Badalamenti zu verantworten die den 	Mordkeywordtag 	organisiert haben sollen 
Mord_f1	Bei einer Verurteilung wegen 	Mordeskeywordtag 	an Bousquet droht ihm lebenslange Haft 
Mord_f1	Didierkeywordtag hat den 	Mordkeywordtag 	gestandenkeywordtag 
Mord_f1	Der Rabin-Attentäter Jigal Amir hat am heutigen Montag morgen vor einem Gericht in Tel Aviv bei einem Haftprüfungstermin sein Geständnis wiederholt und bekräftigtkeywordtag den 	Mordkeywordtag 	an dem israelischen Ministerpräsidenten ohne Mittäter verübtkeywordtag zu haben 
Mord_f2	Amirkeywordtag soll des vorsätzlichenkeywordtag Mordeskeywordtag des versuchtenkeywordtag 	Mordeskeywordtag 	an einem Leibwächter und der Mitgliedschaft in einer illegalen Vereinigung angeklagtkeywordtag werden 
Mord_f1	`` Diese Leute betrachten 	Mordkeywordtag 	als legitime Maßnahme um dem Land ihren Willen aufzuzwingen '' dozierte Gadi Wolfsfeld von der Hebräischen Universität in Jerusalem 
Mord_f1	Der Schock des 	Mordeskeywordtag 	werde nur kurzfristig die politische Gewalt eindämmen sagte er 
Mord_f1	Darum wohl erinnerte er die durch den Friedensprozeß so gespaltene Nation an die sechziger Jahre als sein Land von den 	Mordenkeywordtag 	an John F. Kennedy an Bob Kennedy und an Martin Luther King erschüttert wurde 
