Taeter_f1	Jetzt sucht man die flüchtigen 	Täterkeywordtag 	
Taeter_f1	Der Kronzeuge sollte die terroristische Szene verunsichern Mitglieder der Rote Armee Fraktion zum Aussteigen animieren begangene Straftaten aufklären gesuchte 	Täterkeywordtag 	fassen und geplante Morde verhindern helfen 
Taeter_f1	Seit April 1989 als der Bundestag das umstrittene Gesetz beschloß wurde kein Attentat verhindert und kein gesuchter 	Täterkeywordtag 	gefaßt 
Taeter_f1	Wolfgang Harich einst DDR-Philosoph eher Opfer denn 	Täterkeywordtag 	im Mauernstaat 
Taeter_f1	Die Politik derer vom Rhein `` teilt das deutsche Volk in Sieger und Besiegte Verfolger und Verfolgte in Opfer und 	Täterkeywordtag 	'' 
Taeter_f1	Ihr Anführer der Philosophiestudent Awischai Rawij distanzierte sich umgehend von dem 	Täterkeywordtag 	
Taeter_f1	Vielmehr werden Aktionen in Szene gesetzt um Bilder zu erzeugen die grell einen 	Täterkeywordtag 	beleuchten und seine Legitimation angreifen 
Taeter_f1	Sie reißen den Vorhang der Indifferenz weg und konfrontieren uns die Gemeinschaft der 	Täterkeywordtag 	mit den abgeschobenen Folgen unseres Tuns 
Taeter_f1	Immer mehr 	Täterkeywordtag 	im Nadelstreifen 
Taeter_f1	Am frühen Morgen des Tages der Ausstellungseröffnung dem 17. Mai 1972 wird in Mailand der Polizeikommissar Luigi Calabresi auf offener Straße erschossen der oder die 	Täterkeywordtag 	wurden niemals gefaßt 
Taeter_f1	Die Staatsanwälte zitierten das Opfer mit den Worten Sie hoffe daß die 	Täterkeywordtag 	niemals aus dem Gefängnis entlassen würden jedesmal wenn sie einen Ausländer sehe bekomme sie Todesangst 
Taeter_f1	Die mit dem Beschluß einhergehende Unterstellung Langzeitarbeitslose seien arbeitsunwillig mache die `` Opfer einer verfehlten Wirtschaftspolitik zu 	Täternkeywordtag 	'' 
