bemerken_f0	Es sei jedoch zu bemerken daß die Lage in den verschiedenen arabischen Staaten unterschiedlich gravierend sei 
bemerken_f0	`` Die schlimmste Position auf den Tod zu warten '' so 	bemerktekeywordtag 	erkeywordtag vor gar nicht allzu langer Zeit `` die schlimmste Position ist zu sitzen ohne sich rühren ohne aufstehen oder sich hinlegen zu können und nur auf den Moment zu lauern da man sich ein letztes Mal erheben kann um sich für alle Zeiten niederzulegen '' 
bemerken_f0	Daß eine Mehrheit der Delegierten des Parteitages der lokalen SPD sie nächstens nicht mehr als Chefin des Kulturamtes sehen will ist tatsächlich wiekeywordtag Reischkeywordtag 	bemerktkeywordtag 	hat nicht ihr persönliches sondern in erster Linie ein Problem der Partei 
bemerken_f0	`` Ob die da drin unskeywordtag überhaupt 	bemerkenkeywordtag 	'' 
bemerken_f0	Kein Wunder daß Korporations-Experte Gerhard Schäfer in seinem Buch `` Füxe Burschen Alte Herren '' derzeit eine regelrechte `` Renaisance der Verbindungen in den neuen Ländern '' 	bemerktkeywordtag 	
bemerken_f0	Das Fehlen der Waffen sei am Mittwoch bei einer Routinekontrolle 	bemerktkeywordtag 	worden 
bemerken_f0	Daskeywordtag 	bemerktekeywordtag 	selbst der Spiegel in seiner vorletzten Ausgabe indem er zugestehen mußte daß Rudolf Scharping und die SPD-Bundestagsfraktion über durchaus moderne das heißt angemessene Konzepte in der Wirtschaftspolitik verfügen 
bemerken_f0	Von derlei Spannungen war an diesem Tag am Containerhafen nichts zu bemerken 
bemerken_f1	Seit langem 	bemerkekeywordtag 	ichkeywordtag mit Entsetzen in den israelischen Medien die Tendenz über Ankündigungen und Aktivitäten der rechten Opposition und vor allem der rassistischen Siedler in den palästinensischen Gebieten zu informieren wohingegen Aktivitäten für Frieden und Versöhnung ausgeblendet oder nur sporadisch gemeldet wurden 
bemerken_f1	Entsetzt 	bemerktkeywordtag 	siekeywordtag daß in dem von ihr auf Pump gemieteten Waschsalon 13 Personen feiern 
bemerken_f1	Daskeywordtag 	bemerktekeywordtag 	auch ein `` Wessi '' der kurz nach dem Fall der Mauer auf Stippvisite vorbeischaute 
bemerken_f0	Ein halbes Jahrzehnt später meldete Der Spiegel Selbstkritik an obwohl erkeywordtag siekeywordtag gar nicht 	bemerktkeywordtag 	hatte 
bemerken_f0	`` Der Befangene sieht nicht und erkennt nicht '' 	bemerktkeywordtag 	erkeywordtag ob der Unruhe die manchen Besucher angesichts der Überfülle von Deckenmalereien Fresken und Heiligenszenen ergreift 
