schrumpfen_f1	Dabei 	schrumpftekeywordtag 	der Auftragseingang aus dem Inland um drei und aus dem Ausland um vier Prozent 
schrumpfen_f1	Je mehr die Welt räumlich 	schrumpftkeywordtag 	desto näher rücken Verlust- und Gewinnzonen zusammen 
schrumpfen_f1	Belegschaftkeywordtag 	schrumpftkeywordtag 	
schrumpfen_f1	Die Neuordnung des Beteiligungskreises läßt die Bedeutung der inländischen Aktivitäten im Konzern weiter 	schrumpfenkeywordtag 	
schrumpfen_f1	Michael Steiner von Boston Consulting schätzt daß die Zahl der noch weltweit 50 tüftelnden Großunternehmen in zehn Jahren auf unter 20 	schrumpftkeywordtag 	
schrumpfen_f1	Weil gleichzeitig jenseits der Grenzen 4000 Jobs davon 3000 durch Neuerwerbungen hinzukamen 	schrumpftekeywordtag 	die gesamte Belegschaft `` nur '' um 3000 auf 373 000 Köpfe 
schrumpfen_f1	Dann soll das Gremium wieder auf seine ursprüngliche Größe von 120 Mitgliedern 	schrumpfenkeywordtag 	
schrumpfen_f1	Das Dilemma der Unionsparteien liegt allerdings darin daß Teile ihrer sozialen Basis 	schrumpfenkeywordtag 	und zu `` Minderheiten '' werden und daß bei den Selbständigen und hochqualifizierten Angestellten auch bei den Managern die Grünen anfangen `` zu grasen '' 
schrumpfen_f1	In Deutschland wo der Erlös um 4,4 Prozent auf 331 Millionen Mark zulegte 	schrumpftekeywordtag 	siekeywordtag allerdings um 102 auf 1485 
schrumpfen_f1	Wenn wie in den digital umgerüsteten Rundfunkanstalten 135 verschiedene Berufe auf etwa ein Dutzend neue Berufsbilder 	schrumpfenkeywordtag 	so ist der Nettoeffekt verheerend 
schrumpfen_f1	Statt zu wachsen 	schrumpfenkeywordtag 	die entsprechenden Bereiche 
schrumpfen_f1	In Ostdeutschland könnte siekeywordtag um einen halben Punkt auf 13,8 Prozent 	schrumpfenkeywordtag 	begleitet von einer deutlichen Abnahme der verdeckten Arbeitslosigkeit weil viele Bezieher von Vorruhestands- und von Altersübergangsgeld in den Rentnerstatus wechseln würden 
schrumpfen_f1	Immerhin 	schrumpftkeywordtag 	das Aufkommen unternehmenstypischer Steuern auf Tiefpunkte während die Lohn- und Umsatzsteuern zu Lasten überwiegend der Arbeitnehmer auf Rekordhöhen steigen 
schrumpfen_f1	Schon heute sei das Vertrauen der globalen Finanzmärkte in die Bereitschaft der USA ihren Zahlungsverpflichtungen nachzukommen durch die Vorgänge in Washington `` zu einem gewissen Grad 	geschrumpftkeywordtag 	'' 
schrumpfen_f1	Seit der Verschmelzung der Siemens-EDV-Aktivitäten mit der Paderborner Firma Nixdorf im Oktober 1990 ist die Belegschaft bereits um 15 000 auf 37 200 Männer und Frauen 	geschrumpftkeywordtag 	
schrumpfen_f1	Zwar ist die Fläche im Vergleich zu DDR-Zeiten auf ein Viertel 	geschrumpftkeywordtag 	aber immerhin schließt das Gut die drei umliegenden Dörfer Belrieth Vachdorf und Leutersdorf ein 
schrumpfen_f2	Die Vermögenswerte der Finanzinstitute 	schrumpftenkeywordtag 	dadurch stärker als ihre Schulden 
schrumpfen_f1	Der Konzernumsatz 	schrumpftekeywordtag 	im vergangenen Jahr um fast ein Zehntel auf 395 Millionen Mark 
schrumpfen_f1	Der Chef des Branchenführers auf diesem Gebiet WMF in Geislingen muß denn auch auf einem Markt operieren derkeywordtag im vergangenen Jahr um immerhin rund sechs Prozent 	schrumpftekeywordtag 	
schrumpfen_f1	Die Belegschaft 	schrumpftekeywordtag 	zugleich um 148 auf noch rund 4200 Beschäftigte 
schrumpfen_f1		Schrumpftkeywordtag 	die Wirtschaftsleistung um weniger als 0,75 Prozent soll dagegen wiederum `` in der Regel '' keine Ausnahme gegeben sein die ein über drei Prozent hinausgehendes Defizit rechtfertigt 
schrumpfen_f3	Dabei 	schrumpftenkeywordtag 	die heimischen Orders um 13 und jene aus dem Ausland um neun Prozent 
schrumpfen_f1	Während diese um ein Fünftel auf 8,8 Millionen Hektoliter zulegten 	schrumpftekeywordtag 	der Bierausstoß um 2,4 Prozent 
schrumpfen_f1	Infolge des 30 Millionen Mark teuren Umbaus ist der Überschuß 1996 von 17,5 Millionen Mark fast auf null 	geschrumpftkeywordtag 	
