treiben_s413_f1	FR : Waskeywordtag 	treibt 	Jugendlichekeywordtag dazu , sich gewalttätigen sogenannten Härtegruppen anzuschließen und im Kreise Gleichgesinnter loszuschlagen ? 
treiben_s1235_f2	Ein Sprecher sagte der Berliner `` Sonntagspost '' ( bisher Kurier / Morgenpost am Sonntag ) , die Pläne von Bauminsterin Irmgard Schwaetzer ( FDP ) 	trieben 	die Betroffenen in die Armut . 
treiben_s1546_f1	In den 80er Jahren 	trieben 	Gerüchtekeywordtag , daß die FDA Virazole als Mittel gegen Aids zulassen werde , die Aktienkurse von ICN und ihren beiden Tochtergesellschaften scharf in die Höhe . 
treiben_s2337_f1	Das Regierungsbündnis von Union und FDP präsentiere sich vielmehr `` ohne inneren Halt '' und werde nur noch von der Angst vor dem endgültigen Bruch 	getrieben 	. 
treiben_s2802_f2	Der Deutschen Presse-Agentur sagte er , mit der Weigerung , den Hochschulbau-Etat im nächsten Jahr zu erhöhen , ignoriere Bonnkeywordtag Absprachen von Bund und Ländern , schaffe Planungsunsicherheit und 	treibe 	die Länder weiter in die Verschuldung . 
treiben_s3556_f0	Hätte man einen 15. Januar als Stichtag gewählt , hätten Regen , Schnee oder Frost die Lkw-Fahrer schon längst wieder nach Hause 	getrieben 	. 
treiben_s7011_f0	Die `` dicke Luft '' am Boden ist es vielmehr , diekeywordtag unsere Jets in die Höhe 	treibt 	; 
treiben_s7046_f1	Die Überraschung darüber , zu welcher Tat seine animalische Kraft ihnkeywordtag 	getrieben 	hat , wird von Quinn überzeugend dargestellt , und diese Unschuld spiegelt sich in der idyllischen Unvoreingenommenheit einer Landschaft , die plötzlich und brutal unter diesem zeugenlosen Gewaltakt der unschuldigen Umarmung zerbricht . 
treiben_s7539_f1	Das weitere Erstarken der PDS im Ostteil der Stadt bringt die SPD in die fatale Situation , auf nicht absehbare Zeit entweder Mehrheitsbeschaffer für die CDU zu sein und damit in die FDPisierung zu treiben oder sich neben zwei weiteren Oppositionsparteien mit einer Minderheitsregierung auseinanderzusetzen . 
treiben_s10956_f2	So seien allein in West- und Zentralafrika fünf Millionen Kinder infolge der Kriege von ihren Eltern getrennt und in die Flucht 	getrieben 	worden . 
treiben_s11106_f2	Lacher hatte auch den deutschen Gläubigerbanken erneut vorgeworfen , seinen Mandanten mutwillig in den Konkurs 	getrieben 	und ihm die Chance verwehrt zu haben , die Differenzen mit seinen Kreditgebern beizulegen . 
treiben_s11290_f0	Fritz Teufel und Rainer Langhans , die mit dicken Mänteln angetan auf einem Tisch posieren , Berufsprovokateure von 1968 , deren anarchischer Witz brave Bürger damals zur Weißglut 	trieb 	; 
treiben_s12445_f2	Zu `` kostbar '' sei die Europolitik , um mit ihr ein politisch garstig Spielkeywordtag zu treiben . 
treiben_s12804_f2	Allein in West- und Zentralafrika seien fünf Millionen Kinder infolge von Kriegen von ihren Eltern getrennt und in die Flucht 	getrieben 	worden . 
treiben_s13186_f2	Lacher warf den deutschen Gläubigerbanken erneut vor , seinen Mandanten mutwillig in den Konkurs 	getrieben 	und ihm die Chance verwehrt zu haben , die Probleme mit seinen Kreditgebern zu klären . 
treiben_s13796_f3	`` Eine Reform nur unter dem Diktat des Sparzwangs muß perspektiv- und niveaulos bleiben , die Motivation der Betroffenen tiefer nach unten und den Unmut der Bevölkerung über die Beamten noch weiter nach oben 	treiben 	'' , hält ÖTV-Chef Herbert Mai dem Plan Kanthers entgegen . 
treiben_s15667_f1	Noch mehr dürfte den Minister 	getrieben 	haben , wie besonders die US-Regierung derzeit mit dem Thema umgeht . 
treiben_s23162_f2	Siekeywordtag 	treibe 	insbesondere die Großstädte in rasch steigende Defizite . 
treiben_s26265_f0	Sie zeigt , wie fünf scharfe Küchenmesser lautlos und wie von Geisterhand 	getrieben 	in die runden Haarbüschel einer Reihe dicker , in der Luft schwebender Pinsel gleitet . 
treiben_s26741_f2	Erkeywordtag wird sich fortan bei dem Paar einnisten und den nach einem Sturz vom Dach dem Alkohol verfallenden Zinkarbeiter ins Delirium , die Wäscherin ins Elend 	treiben 	. 
treiben_s27934_f0	Während gezielte Angriffe auf Zivilisten immer mehr Menschen um ihr Leben bangen lassen und aus ihrer Heimat 	treiben 	, seien immer weniger Länder bereit , weitere Menschen aufzunehmen , kritisiert das Flüchtlingshilfswerk der Vereinten Nationen ( UN ) . 
treiben_s27938_f1	Der Krieg in Ex-Jugoslawien mit den einhergehenden `` ethnischen Säuberungen '' habe die Zahl der entwurzelten Personen in die Höhe 	getrieben 	. 
treiben_s28844_f2	Daß eskeywordtag sein Orchester manchmal bis an die Grenze seiner Leistungsfähigkeit 	treibt 	, war hie und da bei der Balance zu spüren . 
treiben_s30855_f2	Die Grünen 	trieben 	`` doppelzüngige Politik '' , weil sie `` ein bißchen Opposition '' und ein `` bißchen Verantwortung '' für die Stadt praktizierten . 
treiben_s31587_f0	Die Herden 	treiben 	siekeywordtag wieder bis auf die höchsten Almen . 
treiben_s32871_f1	Wenn Ärzte die Wünsche der Patienten ignorierten , 	trieben 	siekeywordtag diesekeywordtag erst recht zu den Scharlatanen . 
